0.003104,0.000000,
0.472941,0.447024,
0.601890,0.614143,
0.658475,0.730446,
0.892258,0.796371,
0.892261,0.844526,
0.892261,0.897018,
0.892258,0.949533,
0.891939,0.986605,
0.888732,1.000000,
0.860459,0.986873,
0.824702,0.941269,
0.891855,0.862804,
0.892100,0.772484,
0.837499,0.705863,
0.650980,0.681595,
0.661296,0.684514,
0.697572,0.686378,
0.652995,0.674039,
0.656732,0.653812,
0.656269,0.639786,
0.641752,0.641930,
0.656325,0.658352,
0.658235,0.677633,
0.658557,0.687982,
0.654377,0.681555,
0.659935,0.658635,
0.657771,0.631656,
0.657998,0.616167,
0.655906,0.619227,
0.649911,0.642227,
0.647060,0.683697,
0.636471,0.727567,
0.650106,0.741805,
0.616860,0.705089,
0.547398,0.628798,
0.580125,0.546643,
0.605194,0.489074,
0.571555,0.467652,
0.527875,0.476498,
0.523481,0.504232,
0.554121,0.541099,
0.585590,0.575191,
0.590691,0.593141,
0.587370,0.593921,
0.539980,0.596668,
0.536929,0.621381,
0.597943,0.659369,
0.628261,0.677338,
0.628381,0.653788,
0.598578,0.598627,
0.596144,0.539411,
0.585057,0.499771,
0.589507,0.488611,
0.611692,0.500541,
0.591373,0.522429,
0.542671,0.541175,
0.525473,0.549086,
0.573933,0.545198,
0.593444,0.533506,
0.525234,0.528282,
0.535895,0.569423,
0.555198,0.702722,
0.003104,0.000000,
0.003104,0.000000,
0.003104,0.000000,
